SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
Cognex Corporation (NASDAQGS:CGNX),4963312,NASDAQGS,Information Technology,"8,194.26",16,1.21,0.69,0.69,1.23,1.28,1.01,-1.45,06/03/2026
Cognizant Technology Solutions Corporation (NASDAQGS:CTSH),4222286,NASDAQGS,Information Technology,"31,688.64",26,5.66,5.66,5.25,5.66,5.73,5.53,0.57,06/03/2026
"Cohen & Steers, Inc. (NYSE:CNS)",4092178,NYSE,Financials,"3,338.31",3,3.34,3.34,3.03,3.33,3.41,3.27,2.32,06/03/2026
Coherent Corp. (NYSE:COHR),4964205,NYSE,Information Technology,"46,029.05",17,5.42,5.34,5.06,5.35,6.60,5.12,0.86,06/03/2026
"Cohu, Inc. (NASDAQGS:COHU)",4655036,NASDAQGS,Information Technology,"1,296.93",5,0.53,0.00,0.00,0.51,0.71,0.42,NA,06/03/2026
"Coinbase Global, Inc. (NASDAQGS:COIN)",12805289,NASDAQGS,Financials,"52,075.62",15,3.81,7.69,7.92,3.71,6.15,1.83,-39.78,06/03/2026
Colgate-Palmolive Company (NYSE:CL),4004173,NYSE,Consumer Staples,"74,992.83",19,3.88,3.88,3.66,3.88,3.97,3.82,1.10,06/03/2026
"Collegium Pharmaceutical, Inc. (NASDAQGS:COLL)",4812607,NASDAQGS,Health Care,"1,184.08",5,7.46,7.47,7.48,7.46,7.56,7.34,-0.67,06/03/2026
"Columbia Banking System, Inc. (NASDAQGS:COLB)",4047103,NASDAQGS,Financials,"8,068.53",13,3.05,3.05,2.95,3.04,3.12,2.99,6.12,06/03/2026
Columbia Sportswear Company (NASDAQGS:COLM),4419132,NASDAQGS,Consumer Discretionary,"3,053.14",9,3.40,3.41,3.03,3.45,3.65,3.00,6.93,06/03/2026
Comcast Corporation (NASDAQGS:CMCSA),4057180,NASDAQGS,Communication Services,"114,807.27",17,3.68,3.68,4.22,3.66,3.94,3.51,2.62,06/03/2026
"Comfort Systems USA, Inc. (NYSE:FIX)",4990366,NYSE,Industrials,"44,916.71",8,36.76,26.27,26.24,36.89,38.13,35.06,9.94,06/03/2026
"Commerce Bancshares, Inc. (NASDAQGS:CBSH)",100184,NASDAQGS,Financials,"7,396.84",8,4.12,4.12,4.05,4.13,4.22,3.96,-0.49,06/03/2026
Commercial Metals Company (NYSE:CMC),4743346,NYSE,Materials,"7,228.95",9,7.23,7.25,6.05,7.23,7.85,6.45,0.00,06/03/2026
"Community Financial System, Inc. (NYSE:CBU)",100185,NYSE,Financials,"3,105.97",6,4.69,4.74,4.10,4.73,4.75,4.48,-1.22,06/03/2026
"Commvault Systems, Inc. (NASDAQGS:CVLT)",4963317,NASDAQGS,Information Technology,"3,827.53",13,4.19,4.19,3.91,4.20,4.27,4.08,1.39,06/03/2026
Compa¤¡a de Minas Buenaventura S.A.A. (NYSE:BVN),4349204,NYSE,Materials,"9,405.13",2,4.50,2.17,2.12,4.50,4.57,4.42,41.94,06/03/2026
"Compass Minerals International, Inc. (NYSE:CMP)",4349405,NYSE,Materials,985.04,4,0.81,0.67,-0.53,0.77,0.99,0.70,9.43,06/03/2026
"Compass, Inc. (NYSE:COMP)",6529059,NYSE,Real Estate,"4,902.27",4,0.18,-0.09,-0.09,0.18,0.24,0.13,-11.11,06/03/2026
"Comstock Resources, Inc. (NYSE:CRK)",11028051,NYSE,Energy,"6,286.18",13,0.95,0.53,0.52,0.88,1.51,0.51,1.89,06/03/2026
"Conagra Brands, Inc. (NYSE:CAG)",4101861,NYSE,Consumer Staples,"9,098.59",17,1.72,1.72,1.76,1.72,1.74,1.70,-0.86,06/03/2026
"Concentra Group Holdings Parent, Inc. (NYSE:CON)",118337633,NYSE,Health Care,"2,935.44",7,1.45,1.37,1.31,1.43,1.51,1.42,0.00,06/03/2026
Concentrix Corporation (NASDAQGS:CNXC),4149372,NASDAQGS,Industrials,"2,157.66",5,12.17,12.17,11.37,12.04,13.04,11.74,-1.32,06/03/2026
"Confluent, Inc. (NASDAQGS:CFLT)",5287007,NASDAQGS,Information Technology,"11,004.72",21,0.52,0.40,0.40,0.50,0.62,0.47,5.00,06/03/2026
CONMED Corporation (NYSE:CNMD),4813182,NYSE,Health Care,"1,230.26",6,4.35,4.35,4.50,4.36,4.38,4.32,2.00,06/03/2026
"ConnectOne Bancorp, Inc. (NASDAQGS:CNOB)",100687,NASDAQGS,Financials,"1,286.11",5,3.22,3.24,2.45,3.24,3.35,3.08,5.28,06/03/2026
ConocoPhillips (NYSE:COP),4980342,NYSE,Energy,"143,099.24",19,4.72,4.74,6.45,4.68,6.46,2.65,-1.91,06/03/2026
"Consolidated Edison, Inc. (NYSE:ED)",4057041,NYSE,Utilities,"40,567.07",15,6.07,5.67,5.65,6.09,6.19,5.96,0.53,06/03/2026
"Constellation Brands, Inc. (NYSE:STZ)",4276708,NYSE,Consumer Staples,"25,395.65",23,11.61,11.62,11.49,11.60,11.83,11.49,2.38,06/03/2026
Constellation Energy Corporation (NASDAQGS:CEG),4072145,NASDAQGS,Utilities,"115,496.64",7,11.37,9.40,9.37,11.25,12.00,10.76,0.21,06/03/2026
Constellium SE (NYSE:CSTM),6517345,NYSE,Materials,"3,342.98",3,2.01,1.44,1.44,2.04,2.10,1.90,25.58,06/03/2026
"Construction Partners, Inc. (NASDAQGS:ROAD)",6858530,NASDAQGS,Industrials,"6,672.72",6,2.92,2.93,2.84,2.93,2.95,2.85,2.33,06/03/2026
"Copa Holdings, S.A. (NYSE:CPA)",4113470,NYSE,Industrials,"5,157.70",9,18.43,16.56,16.31,18.50,19.08,18.00,-1.69,06/03/2026
"Copart, Inc. (NASDAQGS:CPRT)",4988311,NASDAQGS,Industrials,"36,355.26",12,1.58,1.66,1.64,1.57,1.66,1.54,2.58,06/03/2026
COPT Defense Properties (NYSE:CDP),103010,NYSE,Real Estate,"3,614.37",4,1.34,1.33,1.35,1.33,1.38,1.31,-0.74,06/03/2026
"Core & Main, Inc. (NYSE:CNM)",6336286,NYSE,Industrials,"9,406.15",6,2.31,2.31,2.28,2.31,2.36,2.27,-3.62,06/03/2026
"Core Scientific, Inc. (NASDAQGS:CORZ)",10959317,NASDAQGS,,"4,685.84",14,0.15,-1.73,-1.38,0.06,0.82,-0.38,49.13,06/03/2026
"Corebridge Financial, Inc. (NYSE:CRBG)",102701,NYSE,Financials,"12,210.74",15,5.12,4.37,4.41,5.10,5.44,4.74,1.14,06/03/2026
"CoreCivic, Inc. (NYSE:CXW)",4056502,NYSE,Industrials,"1,764.63",4,1.56,1.02,1.02,1.52,1.72,1.48,5.88,06/03/2026
"CoreWeave, Inc. (NASDAQGS:CRWV)",14399568,NASDAQGS,Information Technology,"38,369.98",19,-2.76,NA,NA,-2.88,-1.03,-4.82,-6.11,06/03/2026
Corning Incorporated (NYSE:GLW),4004201,NYSE,Information Technology,"105,776.42",12,3.11,3.08,2.52,3.09,3.50,2.90,0.00,06/03/2026
"Corpay, Inc. (NYSE:CPAY)",4256640,NYSE,Financials,"21,395.01",15,25.86,25.74,21.27,25.98,26.64,24.52,0.47,06/03/2026
Corporaci¢n Am‚rica Airports S.A. (NYSE:CAAP),9167688,NYSE,Industrials,"4,146.45",5,1.65,1.80,1.57,1.47,2.65,1.13,17.33,06/03/2026
"Corteva, Inc. (NYSE:CTVA)",14170965,NYSE,Materials,"51,757.45",22,3.65,3.62,3.33,3.61,3.99,3.52,0.30,06/03/2026
"Corvus Pharmaceuticals, Inc. (NASDAQGM:CRVS)",4810742,NASDAQGM,Health Care,"1,323.11",7,-0.21,-0.21,-0.21,-0.17,-0.11,-0.53,-10.87,06/03/2026
"CoStar Group, Inc. (NASDAQGS:CSGP)",4094053,NASDAQGS,Real Estate,"20,309.60",20,1.31,0.84,0.84,1.30,1.45,1.24,3.57,06/03/2026
Costco Wholesale Corporation (NASDAQGS:COST),4126080,NASDAQGS,Consumer Staples,"442,848.99",30,20.54,20.38,20.07,20.38,25.67,19.95,0.33,06/03/2026
Coterra Energy Inc. (NYSE:CTRA),4010469,NYSE,Energy,"23,560.23",21,2.16,2.16,2.21,2.18,3.34,1.26,-3.26,06/03/2026
Coty Inc. (NYSE:COTY),4067766,NYSE,Consumer Staples,"2,085.62",17,0.28,0.28,0.42,0.27,0.34,0.22,-40.54,06/03/2026
"Coupang, Inc. (NYSE:CPNG)",27752321,NYSE,Consumer Discretionary,"34,863.61",4,0.16,0.18,0.17,0.18,0.19,0.10,-29.41,06/03/2026
"Coursera, Inc. (NYSE:COUR)",6517750,NYSE,Consumer Discretionary,"1,036.11",13,0.43,0.44,0.39,0.42,0.50,0.39,0.00,06/03/2026
Cousins Properties Incorporated (NYSE:CUZ),102939,NYSE,Real Estate,"3,900.54",3,0.30,0.30,0.36,0.31,0.34,0.25,-31.43,06/03/2026
Covista Inc. (NYSE:CVSA),4183694,NYSE,Consumer Discretionary,"3,521.59",3,7.94,7.90,7.81,7.93,7.98,7.90,1.99,06/03/2026
Crane Company (NYSE:CR),4211657,NYSE,Industrials,"11,022.71",9,6.68,6.68,5.92,6.68,6.70,6.62,2.20,06/03/2026
"Crane NXT, Co. (NYSE:CXT)",110366008,NYSE,Information Technology,"2,649.30",6,4.27,4.05,4.05,4.25,4.37,4.23,0.25,06/03/2026
Credicorp Ltd. (NYSE:BAP),4097662,NYSE,Financials,"26,236.21",8,29.13,25.34,25.07,29.81,30.15,26.28,1.93,06/03/2026
Credo Technology Group Holding Ltd (NASDAQGS:CRDO),20028074,NASDAQGS,Information Technology,"20,258.14",16,3.31,2.79,2.78,3.31,3.37,3.27,11.11,06/03/2026
CRH plc (NYSE:CRH),4213375,NYSE,Materials,"71,108.57",19,5.97,5.59,5.56,5.99,6.15,5.76,0.54,06/03/2026
"Crinetics Pharmaceuticals, Inc. (NASDAQGS:CRNX)",5289558,NASDAQGS,Health Care,"4,002.88",11,-4.77,-5.02,-5.01,-4.95,-2.85,-5.93,1.39,06/03/2026
CRISPR Therapeutics AG (NASDAQGM:CRSP),4972921,NASDAQGM,Health Care,"5,423.17",24,-4.95,-6.17,-6.20,-5.05,-2.30,-6.84,-4.86,06/03/2026
"Crocs, Inc. (NASDAQGS:CROX)",4155562,NASDAQGS,Consumer Discretionary,"4,320.09",14,13.30,12.14,12.13,13.35,13.85,12.74,3.05,06/03/2026
"CrowdStrike Holdings, Inc. (NASDAQGS:CRWD)",12917530,NASDAQGS,Information Technology,"108,797.91",53,4.86,3.72,3.72,4.85,5.00,4.79,0.27,06/03/2026
Crown Castle Inc. (NYSE:CCI),4417219,NYSE,Real Estate,"39,433.85",15,2.09,2.03,0.87,1.98,2.90,1.75,14.77,06/03/2026
"Crown Holdings, Inc. (NYSE:CCK)",4419522,NYSE,Materials,"11,848.02",13,8.12,8.14,7.76,8.10,8.30,8.00,0.39,06/03/2026
"CSG Systems International, Inc. (NASDAQGS:CSGS)",4090254,NASDAQGS,Industrials,"2,212.91",6,5.13,5.13,4.75,5.09,5.41,4.97,8.21,06/03/2026
"CSW Industrials, Inc. (NYSE:CSW)",4987474,NYSE,Industrials,"4,318.99",6,9.70,9.73,10.24,9.74,10.20,9.20,0.36,06/03/2026
CSX Corporation (NASDAQGS:CSX),4004350,NASDAQGS,Industrials,"74,289.29",26,1.85,1.85,1.66,1.85,1.90,1.80,-1.83,06/03/2026
CubeSmart (NYSE:CUBE),4095755,NYSE,Real Estate,"9,131.45",8,1.42,1.48,1.48,1.43,1.45,1.37,-2.01,06/03/2026
"Cullen/Frost Bankers, Inc. (NYSE:CFR)",100196,NYSE,Financials,"8,554.99",14,10.29,10.16,9.82,10.24,11.25,9.73,4.07,06/03/2026
Cummins Inc. (NYSE:CMI),4074303,NYSE,Industrials,"74,502.96",21,26.29,26.38,22.75,26.10,29.01,25.38,4.07,06/03/2026
Curtiss-Wright Corporation (NYSE:CW),4251140,NYSE,Industrials,"25,133.59",8,15.02,13.13,13.13,15.01,15.15,14.90,0.76,06/03/2026
Cushman & Wakefield Limited (NYSE:CWK),7268054,NYSE,Real Estate,"2,934.86",9,1.46,1.22,1.22,1.46,1.49,1.44,0.00,06/03/2026
"Custom Truck One Source, Inc. (NYSE:CTOS)",14836300,NYSE,Industrials,"1,452.25",6,-0.16,-0.16,-0.16,-0.16,-0.10,-0.21,40.00,06/03/2026
"Customers Bancorp, Inc. (NYSE:CUBI)",4293992,NYSE,Financials,"2,307.27",9,8.25,8.25,7.54,8.30,8.40,7.85,0.53,06/03/2026
CVB Financial Corp. (NASDAQGS:CVBF),100224,NASDAQGS,Financials,"2,567.98",4,1.66,1.66,1.51,1.67,1.69,1.60,1.32,06/03/2026
"CVR Energy, Inc. (NYSE:CVI)",4203682,NYSE,Energy,"2,697.24",5,0.78,-1.24,-0.73,0.84,1.09,0.35,1.61,06/03/2026
CVS Health Corporation (NYSE:CVS),4206348,NYSE,Health Care,"99,130.69",28,7.17,6.66,6.59,7.16,7.40,6.91,1.35,06/03/2026
"Cytokinetics, Incorporated (NASDAQGS:CYTK)",4810184,NASDAQGS,Health Care,"7,440.27",17,-6.48,-6.35,-6.32,-6.46,-5.68,-7.23,-2.19,06/03/2026
D-Wave Quantum Inc. (NYSE:QBTS),4632191,NYSE,Information Technology,"6,876.70",13,-0.32,-0.22,-0.22,-0.32,-0.20,-0.42,-18.18,06/03/2026
"D.R. Horton, Inc. (NYSE:DHI)",4049266,NYSE,Consumer Discretionary,"42,661.72",20,10.54,10.56,11.41,10.48,11.72,9.80,-2.03,06/03/2026
Dana Incorporated (NYSE:DAN),3009591,NYSE,Consumer Discretionary,"3,545.02",6,2.67,0.77,0.79,2.57,3.03,2.35,-44.16,06/03/2026
Danaher Corporation (NYSE:DHR),4810677,NYSE,Health Care,"138,245.74",25,8.41,8.41,7.72,8.40,8.51,8.35,0.52,06/03/2026
Daqo New Energy Corp. (NYSE:DQ),4971908,NYSE,Information Technology,"1,485.98",1,-1.16,-2.07,-2.10,-1.16,-1.16,-1.16,17.87,06/03/2026
"Darden Restaurants, Inc. (NYSE:DRI)",4297825,NYSE,Consumer Discretionary,"23,393.99",33,10.58,10.58,10.62,10.57,10.80,10.45,0.21,06/03/2026
Darling Ingredients Inc. (NYSE:DAR),4915094,NYSE,Consumer Staples,"8,391.71",10,3.12,0.42,0.40,3.10,4.62,2.30,130.95,06/03/2026
"Datadog, Inc. (NASDAQGS:DDOG)",5222696,NASDAQGS,Information Technology,"44,496.80",43,2.17,2.02,2.02,2.13,2.56,2.07,1.49,06/03/2026
Dauch Corporation (NYSE:DCH),4114240,NYSE,Consumer Discretionary,"1,314.44",8,0.53,0.45,0.40,0.53,0.62,0.43,17.78,06/03/2026
Dave Inc. (NASDAQGM:DAVE),5996709,NASDAQGM,Financials,"2,934.84",7,12.68,12.24,11.87,13.03,14.90,9.71,10.54,06/03/2026
DaVita Inc. (NYSE:DVA),4189919,NYSE,Health Care,"10,067.17",7,14.05,14.08,10.69,14.05,14.36,13.83,0.84,06/03/2026
"Day One Biopharmaceuticals, Inc. (NASDAQGS:DAWN)",27761804,NASDAQGS,Health Care,"2,189.91",7,-0.69,-0.93,-0.97,-0.55,-0.16,-1.76,-14.29,06/03/2026
Deckers Outdoor Corporation (NYSE:DECK),4391531,NYSE,Consumer Discretionary,"14,798.28",26,6.88,6.88,6.40,6.86,7.00,6.80,6.75,06/03/2026
Deere & Company (NYSE:DE),114526,NYSE,Industrials,"159,301.17",19,18.03,16.64,16.61,17.97,19.76,17.40,0.49,06/03/2026
"Definium Therapeutics, Inc. (NASDAQGS:DFTX)",18141529,NASDAQGS,Health Care,"1,760.67",13,-1.95,-1.99,-2.04,-1.96,-1.60,-2.50,-4.04,06/03/2026
"Delek Logistics Partners, LP (NYSE:DKL)",4566764,NYSE,Energy,"2,785.32",2,3.79,3.53,3.54,3.79,4.13,3.45,-6.52,06/03/2026
"Delek US Holdings, Inc. (NYSE:DK)",4122365,NYSE,Energy,"2,529.30",8,0.39,4.00,2.11,0.31,3.84,-0.98,65.00,06/03/2026
Dell Technologies Inc. (NYSE:DELL),4625099,NYSE,Information Technology,"97,070.77",24,12.71,9.96,9.94,12.94,14.32,10.97,3.41,06/03/2026
"Delta Air Lines, Inc. (NYSE:DAL)",4004278,NYSE,Industrials,"38,331.57",23,7.18,7.19,5.92,7.16,7.55,7.00,-0.68,06/03/2026
Deluxe Corporation (NYSE:DLX),4006858,NYSE,Industrials,"1,245.15",3,4.07,3.90,3.55,4.07,4.15,3.98,3.38,06/03/2026
Denali Therapeutics Inc. (NASDAQGS:DNLI),4659138,NASDAQGS,Health Care,"3,122.67",14,-2.69,-3.01,-3.01,-2.90,-1.40,-3.37,1.33,06/03/2026
DENTSPLY SIRONA Inc. (NASDAQGS:XRAY),4813221,NASDAQGS,Health Care,"2,542.29",16,1.43,1.61,1.62,1.44,1.46,1.40,-0.62,06/03/2026
Devon Energy Corporation (NYSE:DVN),4010561,NYSE,Energy,"27,574.12",15,3.38,3.96,4.02,3.42,4.35,2.20,-0.76,06/03/2026
"DexCom, Inc. (NASDAQGS:DXCM)",4270258,NASDAQGS,Health Care,"26,209.30",25,2.50,2.07,2.06,2.50,2.59,2.38,0.97,06/03/2026
"DHT Holdings, Inc. (NYSE:DHT)",4980475,NYSE,Energy,"2,905.65",5,1.95,1.60,0.99,1.87,2.50,1.45,0.00,06/03/2026
"Diamondback Energy, Inc. (NASDAQGS:FANG)",4337452,NASDAQGS,Energy,"50,926.54",25,10.11,12.36,13.01,10.04,14.03,5.83,8.70,06/03/2026
"DICK'S Sporting Goods, Inc. (NYSE:DKS)",4193280,NYSE,Consumer Discretionary,"17,746.37",24,12.77,12.78,12.96,12.77,14.67,11.25,0.86,06/03/2026
"Diebold Nixdorf, Incorporated (NYSE:DBD)",4094000,NYSE,Information Technology,"2,728.72",3,5.49,4.12,4.12,5.50,5.51,5.45,14.81,06/03/2026
Digi International Inc. (NASDAQGS:DGII),4964032,NASDAQGS,Information Technology,"1,836.93",5,2.34,2.34,2.39,2.30,2.44,2.28,2.44,06/03/2026
"Digital Realty Trust, Inc. (NYSE:DLR)",4094311,NYSE,Real Estate,"60,541.61",18,1.85,1.77,3.67,1.87,2.61,1.00,-2.19,06/03/2026
"DigitalBridge Group, Inc. (NYSE:DBRG)",4889095,NYSE,Financials,"2,818.43",4,0.39,0.30,0.26,0.44,0.53,0.16,53.33,06/03/2026
"DigitalOcean Holdings, Inc. (NYSE:DOCN)",12907735,NYSE,Information Technology,"5,009.19",13,0.94,2.05,2.05,0.94,1.11,0.88,3.41,06/03/2026
"Dime Community Bancshares, Inc. (NASDAQGS:DCOM)",102643,NASDAQGS,Financials,"1,403.23",5,3.48,3.48,2.54,3.45,3.55,3.42,1.97,06/03/2026
Diodes Incorporated (NASDAQGS:DIOD),4964035,NASDAQGS,Information Technology,"2,839.36",3,2.23,1.16,1.16,2.25,2.30,2.13,5.17,06/03/2026
"Disc Medicine, Inc. (NASDAQGM:IRON)",19396826,NASDAQGM,Health Care,"2,334.63",10,-7.34,-5.95,-5.93,-7.25,-6.40,-8.55,-1.18,06/03/2026
"Distribution Solutions Group, Inc. (NASDAQGS:DSGR)",101437756,NASDAQGS,Industrials,"1,020.26",1,1.54,1.38,1.38,1.54,1.54,1.54,-10.14,06/03/2026
DLocal Limited (NASDAQGS:DLO),28827980,NASDAQGS,Financials,"3,421.79",4,0.70,0.70,0.71,0.68,0.79,0.65,8.51,06/03/2026
"DocuSign, Inc. (NASDAQGS:DOCU)",4556424,NASDAQGS,Information Technology,"9,751.28",23,3.78,3.78,3.78,3.78,3.85,3.67,0.28,06/03/2026
"Dolby Laboratories, Inc. (NYSE:DLB)",4160234,NYSE,Information Technology,"6,237.79",3,4.35,4.36,4.27,4.34,4.41,4.31,6.80,06/03/2026
Dole plc (NYSE:DOLE),4913589,NYSE,Consumer Staples,"1,452.21",3,1.42,1.27,1.27,1.40,1.49,1.37,-5.51,06/03/2026
Dollar General Corporation (NYSE:DG),4022058,NYSE,Consumer Staples,"32,205.59",29,6.53,6.50,6.39,6.50,6.82,6.22,2.96,06/03/2026
"Dollar Tree, Inc. (NASDAQGS:DLTR)",4911259,NASDAQGS,Consumer Staples,"23,031.18",28,5.75,5.73,5.71,5.76,6.01,5.35,1.66,06/03/2026
"Dominion Energy, Inc. (NYSE:D)",4001616,NYSE,Utilities,"55,574.40",20,3.59,3.41,3.41,3.59,3.62,3.51,0.29,06/03/2026
"Domino's Pizza, Inc. (NASDAQGS:DPZ)",4206221,NASDAQGS,Consumer Discretionary,"13,734.38",31,19.83,17.61,17.61,19.81,20.35,19.41,-0.23,06/03/2026
"Donaldson Company, Inc. (NYSE:DCI)",4991702,NYSE,Industrials,"10,276.20",8,4.01,4.05,4.04,3.99,4.10,3.97,0.55,06/03/2026
"Donnelley Financial Solutions, Inc. (NYSE:DFIN)",4998292,NYSE,Financials,"1,271.78",3,4.69,4.02,4.02,4.61,4.88,4.59,-21.64,06/03/2026
"DoorDash, Inc. (NASDAQGS:DASH)",6543878,NASDAQGS,Consumer Discretionary,"77,836.17",10,5.55,5.06,5.19,5.51,6.29,5.13,0.40,06/03/2026
Dorian LPG Ltd. (NYSE:LPG),4980640,NYSE,Energy,"1,456.72",4,4.55,4.62,3.86,4.43,5.30,4.04,-17.15,06/03/2026
"Dorman Products, Inc. (NASDAQGS:DORM)",4915418,NASDAQGS,Consumer Discretionary,"3,299.94",8,8.28,8.82,8.82,8.31,8.45,8.10,0.57,06/03/2026
"DoubleVerify Holdings, Inc. (NYSE:DV)",28172255,NYSE,Communication Services,"1,783.49",8,1.12,0.96,0.96,1.15,1.30,0.93,-8.33,06/03/2026
"Douglas Dynamics, Inc. (NYSE:PLOW)",4995489,NYSE,Industrials,998.88,4,2.56,2.12,2.17,2.58,2.74,2.34,5.19,06/03/2026
"Douglas Emmett, Inc. (NYSE:DEI)",4137375,NYSE,Real Estate,"1,689.69",4,-0.13,0.08,0.07,-0.13,-0.11,-0.15,12.50,06/03/2026
Dover Corporation (NYSE:DOV),4068060,NYSE,Industrials,"28,108.90",19,10.59,10.59,9.58,10.60,10.75,10.36,0.42,06/03/2026
Dow Inc. (NYSE:DOW),4209300,NYSE,Materials,"23,948.93",14,-0.39,-0.39,-0.95,-0.32,-0.13,-0.85,8.74,06/03/2026
"Doximity, Inc. (NYSE:DOCS)",5217252,NYSE,Health Care,"4,680.52",20,1.55,1.55,1.57,1.55,1.60,1.48,8.40,06/03/2026
DraftKings Inc. (NASDAQGS:DKNG),19659800,NASDAQGS,Consumer Discretionary,"12,396.27",20,0.39,-0.15,-0.18,0.34,1.08,0.17,107.14,06/03/2026
Driven Brands Holdings Inc. (NASDAQGS:DRVN),27430291,NASDAQGS,Consumer Discretionary,"1,723.48",8,1.21,1.21,1.24,1.21,1.22,1.19,10.68,06/03/2026
"Dropbox, Inc. (NASDAQGS:DBX)",4331134,NASDAQGS,Information Technology,"6,461.44",8,2.98,2.81,2.80,2.95,3.16,2.86,1.07,06/03/2026
"DT Midstream, Inc. (NYSE:DTM)",28660777,NYSE,Energy,"14,398.67",9,4.71,4.37,4.39,4.75,5.03,4.09,-1.60,06/03/2026
DTE Energy Company (NYSE:DTE),4057044,NYSE,Utilities,"31,197.58",16,7.72,7.24,7.22,7.73,7.75,7.66,1.66,06/03/2026
Ducommun Incorporated (NYSE:DCO),4987110,NYSE,Industrials,"1,931.97",5,4.30,3.68,3.70,4.31,4.66,3.88,2.18,06/03/2026
Duke Energy Corporation (NYSE:DUK),4121470,NYSE,Utilities,"103,041.39",21,6.70,6.31,6.31,6.70,6.79,6.63,0.00,06/03/2026
"Duolingo, Inc. (NASDAQGS:DUOL)",5242080,NASDAQGS,Consumer Discretionary,"4,785.17",18,2.95,8.50,8.41,2.94,3.82,2.02,0.82,06/03/2026
"DuPont de Nemours, Inc. (NYSE:DD)",4873611,NYSE,Materials,"18,507.89",17,2.30,1.72,1.73,2.30,2.35,2.25,-2.33,06/03/2026
Dutch Bros Inc. (NYSE:BROS),8435281,NYSE,Consumer Discretionary,"6,519.15",18,0.90,0.68,0.67,0.91,0.97,0.75,11.76,06/03/2026
DXC Technology Company (NYSE:DXC),4024401,NYSE,Information Technology,"2,198.39",9,3.18,3.18,3.13,3.18,3.27,3.14,2.08,06/03/2026
"Dycom Industries, Inc. (NYSE:DY)",4295787,NYSE,Industrials,"10,700.36",9,14.33,11.11,11.03,14.24,16.00,13.64,6.40,06/03/2026
"Dynatrace, Inc. (NYSE:DT)",15568188,NYSE,Information Technology,"11,715.30",35,1.68,1.64,1.64,1.68,1.71,1.60,1.46,06/03/2026
"Dyne Therapeutics, Inc. (NASDAQGS:DYN)",14758986,NASDAQGS,Health Care,"2,452.30",13,-3.18,-3.53,-3.57,-3.01,-2.55,-4.21,1.70,06/03/2026
"Dynex Capital, Inc. (NYSE:DX)",103012,NYSE,Financials,"2,714.66",3,1.17,1.17,0.94,1.21,1.25,1.05,-17.02,06/03/2026
"e.l.f. Beauty, Inc. (NYSE:ELF)",4914448,NYSE,Consumer Staples,"4,868.27",17,3.10,3.10,2.85,3.10,3.15,3.05,2.11,06/03/2026
Eagle Materials Inc. (NYSE:EXP),4144672,NYSE,Materials,"6,185.53",12,12.94,12.97,13.51,12.80,13.84,12.54,-2.38,06/03/2026
"East West Bancorp, Inc. (NASDAQGS:EWBC)",4040606,NASDAQGS,Financials,"14,632.04",14,10.26,10.26,9.49,10.26,10.51,9.96,-0.21,06/03/2026
"Eastern Bankshares, Inc. (NASDAQGS:EBC)",1022658,NASDAQGS,Financials,"4,222.58",6,1.95,1.95,1.54,1.94,1.99,1.91,1.30,06/03/2026
"EastGroup Properties, Inc. (NYSE:EGP)",102947,NYSE,Real Estate,"10,016.42",7,5.23,5.23,4.87,5.21,5.47,5.05,0.00,06/03/2026
Eastman Chemical Company (NYSE:EMN),4022066,NYSE,Materials,"8,020.89",16,5.82,5.82,5.48,5.75,6.16,5.55,0.56,06/03/2026
Eaton Corporation plc (NYSE:ETN),4991395,NYSE,Industrials,"134,892.23",22,13.34,13.38,12.10,13.37,13.50,13.07,0.00,06/03/2026
eBay Inc. (NASDAQGS:EBAY),4081627,NASDAQGS,Consumer Discretionary,"41,534.08",29,6.03,5.46,5.46,6.04,6.34,5.61,1.10,06/03/2026
EchoStar Corporation (NASDAQGS:SATS),4190757,NASDAQGS,Communication Services,"30,690.17",2,0.41,-40.41,-39.24,0.41,2.66,-1.85,-24.75,06/03/2026
Ecolab Inc. (NYSE:ECL),4051243,NYSE,Materials,"79,709.94",23,8.52,7.53,7.53,8.53,8.62,8.43,0.00,06/03/2026
Ecovyst Inc. (NYSE:ECVT),7181248,NYSE,Materials,"1,219.76",6,0.61,0.40,0.48,0.61,0.64,0.56,-2.50,06/03/2026
Edgewell Personal Care Company (NYSE:EPC),4910590,NYSE,Consumer Staples,987.12,7,1.92,2.33,2.37,1.92,1.96,1.90,-5.26,06/03/2026
"Edgewise Therapeutics, Inc. (NASDAQGS:EWTX)",13528583,NASDAQGS,Health Care,"2,984.27",9,-2.12,-1.60,-1.60,-2.02,-1.71,-2.48,-1.88,06/03/2026
Edison International (NYSE:EIX),4056943,NYSE,Utilities,"27,612.60",13,6.12,6.13,6.07,6.13,6.19,5.97,6.85,06/03/2026
