SPGTable,,,,,,,,,,,,,
Entity Name,Entity ID,Exchange,SP_SECTOR,Market Capitalization ($M),CIQ EPS Est - # of Est (actual),EPS_FY+1_Current,EPS_FY+1_1M_ago,EPS_FY+1_3M_ago,EPS_MEDIAN_EST,EPS_HIGH_EST,EPS_LOW_EST,EPS_SURPRISE,AS_OF
SP_ENTITY_NAME,SP_ENTITY_ID,SP_EXCHANGE,,SP_MARKETCAP,SP_EPS_NUM_EST,,,,,,,,
,,,,Current,FY+1,,,,,,,,
AerCap Holdings N.V. (NYSE:AER),4152754,NYSE,Industrials,"22,149.04",9,15.34,15.01,14.64,15.55,16.25,13.81,4.13,06/03/2026
"AeroVironment, Inc. (NASDAQGS:AVAV)",4987550,NASDAQGS,Industrials,"11,422.08",17,3.31,3.45,3.62,3.41,3.50,2.50,7.54,06/03/2026
"Affiliated Managers Group, Inc. (NYSE:AMG)",113618,NYSE,Financials,"7,625.70",7,33.48,25.53,25.26,34.00,34.57,31.38,2.04,06/03/2026
"Affirm Holdings, Inc. (NASDAQGS:AFRM)",26472629,NASDAQGS,Financials,"17,221.82",7,3.13,2.99,3.11,3.37,3.45,2.37,-12.06,06/03/2026
Aflac Incorporated (NYSE:AFL),103316,NYSE,Financials,"57,466.76",14,7.36,7.34,7.57,7.35,7.80,7.07,-1.71,06/03/2026
Afya Limited (NASDAQGS:AFYA),15170166,NASDAQGS,Consumer Discretionary,"1,257.07",6,1.66,1.66,1.65,1.67,1.72,1.52,6.32,06/03/2026
AGCO Corporation (NYSE:AGCO),4309089,NYSE,Industrials,"8,968.98",16,5.89,5.89,4.98,5.85,6.80,5.60,6.24,06/03/2026
"Agilent Technologies, Inc. (NYSE:A)",4075849,NYSE,Health Care,"32,519.05",19,5.97,5.93,5.95,5.97,6.00,5.93,0.36,06/03/2026
"Agilysys, Inc. (NASDAQGS:AGYS)",4146470,NASDAQGS,Information Technology,"2,171.35",7,1.66,1.66,1.66,1.64,1.74,1.60,19.23,06/03/2026
"Agios Pharmaceuticals, Inc. (NASDAQGS:AGIO)",4318095,NASDAQGS,Health Care,"1,609.53",10,-6.66,-7.06,-7.06,-6.64,-6.04,-7.14,-0.85,06/03/2026
AGNC Investment Corp. (NASDAQGS:AGNC),4199629,NASDAQGS,Financials,"11,797.32",13,1.51,1.51,1.53,1.52,1.61,1.39,-1.96,06/03/2026
Agnico Eagle Mines Limited (NYSE:AEM),4347844,NYSE,Materials,"110,568.02",13,13.33,8.18,8.04,13.02,15.28,11.39,1.22,06/03/2026
Agree Realty Corporation (NYSE:ADC),103154,NYSE,Real Estate,"9,748.60",5,1.99,1.78,1.77,1.97,2.16,1.91,-0.56,06/03/2026
Air Lease Corporation (NYSE:AL),4262539,NYSE,Industrials,"7,228.52",4,5.19,6.29,6.18,5.23,5.30,5.00,47.69,06/03/2026
"Air Products and Chemicals, Inc. (NYSE:APD)",4014726,NYSE,Materials,"60,602.51",24,13.03,13.02,12.99,13.05,13.20,12.19,0.33,06/03/2026
"Airbnb, Inc. (NASDAQGS:ABNB)",4819787,NASDAQGS,Consumer Discretionary,"79,873.24",36,4.95,4.13,4.12,4.93,5.60,4.62,-2.42,06/03/2026
"Akamai Technologies, Inc. (NASDAQGS:AKAM)",4186103,NASDAQGS,Information Technology,"14,472.87",25,6.87,7.04,7.04,6.86,7.41,6.64,1.14,06/03/2026
Alamo Group Inc. (NYSE:ALG),4995937,NYSE,Industrials,"2,037.95",3,10.22,9.86,9.86,10.32,10.75,9.60,-4.97,06/03/2026
"Alarm.com Holdings, Inc. (NASDAQGS:ALRM)",4973184,NASDAQGS,Information Technology,"2,479.33",6,2.79,2.52,2.50,2.79,2.81,2.78,3.97,06/03/2026
"Alaska Air Group, Inc. (NYSE:ALK)",4994468,NYSE,Industrials,"4,849.33",15,5.43,5.43,2.22,5.48,5.99,4.80,14.02,06/03/2026
